x,y,z
20.6745,18.0605,42
20.4611,98.2209,157
22.3478,78.5834,125
19.9536,10.8801,40
17.4211,67.4174,131
25.0239,46.6746,88
15.4172,11.0084,27
21.3058,56.0235,130
14.9394,6.54697,13
26.8336,66.27,118
16.3481,85.4812,150
19.9626,77.141,122
18.6642,0.846254,9
16.5564,31.8674,60
19.106,7.69443,17
14.1853,59.6273,105
15.9678,69.6805,116
15.7771,97.4893,188
14.3721,53.1133,101
15.5934,99.474,154
24.3196,96.8901,157
14.658,88.2471,146
17.9887,31.1043,46
18.3557,23.5953,53
21.6326,11.5767,23
19.2264,51.8667,111
20.3853,10.7719,22
14.5692,49.5588,81
12.4016,34.3032,62
11.4896,60.818,84
24.9656,13.7917,36
26.9467,16.9138,39
14.071,54.1701,107
13.5672,51.1716,93
20.5159,63.6795,110
15.9793,61.8496,110
17.6904,18.6281,37
7.32428,87.239,148
18.576,55.2943,81
22.9984,58.9056,106
18.2274,30.9802,68
19.5616,52.4901,104
23.4413,37.8498,60
24.4167,20.7428,42
18.9765,20.6103,54
20.6302,74.5599,155
15.256,9.76252,31
14.3569,59.3663,99
23.9853,43.7827,72
20.4146,21.4801,48
25.0585,35.1561,67
11.2138,56.499,102
27.3509,3.67545,22
17.2108,22.2108,43
22.6221,50.8455,101
14.7925,5.31412,17
21.1741,13.6871,26
19.9962,86.2348,157
22.7727,81.5605,137
13.2648,24.6738,54
18.5467,33.5036,64
17.2594,93.6176,187
20.3455,33.8432,75
14.6158,38.874,74
24.8195,19.7033,38
13.4414,3.19893,12
22.6227,86.8605,166
13.5128,27.2023,62
20.654,94.6694,142
11.6212,61.7278,104
17.0388,27.9666,60
15.5693,69.9409,121
17.8664,68.6782,133
14.3851,84.2128,133
18.2863,19.5066,33
17.9932,82.6907,150
9.5434,74.4865,129
18.6348,98.7321,180
17.8677,92.718,162
11.8458,10.2173,27
19.1727,36.6089,71
21.1766,88.7355,169
16.9875,57.2701,94
13.2277,28.151,49
15.2321,6.25926,21
22.562,94.502,170
21.2744,83.701,152
25.0429,23.3351,45
18.4212,65.691,121
21.1564,12.2298,25
17.6017,78.4606,139
22.0953,13.9882,51
16.8038,51.459,82
20.1678,96.8021,163
23.4125,21.9286,44
26.9628,71.6394,113
20.1809,10.4257,17
16.0351,31.3844,60
15.4464,37.1686,62
29.5806,67.783,116
