x,y,z
13.7758,69.2332,70
14.2341,53.6634,66
16.2867,16.1386,30
15.564,40.7794,59
14.3867,30.4728,55
15.3525,41.313,45
9.49559,71.7796,97
5.94814,99.2964,123
17.7468,6.37386,16
17.7142,22.8424,32
16.1047,8.32828,19
10.9868,27.9945,39
14.7955,82.3637,103
2.02295,48.5172,103
13.2905,21.8048,42
9.04481,38.6662,59
8.671,15.9336,21
21.6316,82.5336,110
17.2026,65.6701,81
14.4887,93.8918,102
13.3949,9.15378,24
14.4592,30.857,36
14.1,55.2519,79
10.9943,70.5197,106
8.08236,55.3089,85
15.4722,55.41,65
13.0173,30.0072,49
11.5422,53.3262,70
16.0352,77.1601,113
11.6261,99.3873,140
13.074,99.9565,129
13.0532,70.1632,95
9.47883,57.4242,66
12.9404,88.1964,131
18.226,36.755,53
11.9469,84.5263,102
11.7675,0.3171,7
13.5644,19.1503,24
13.9767,96.6966,100
17.7978,44.6713,54
22.9522,13.1053,16
14.8832,73.3223,94
11.8277,63.8282,96
12.3062,18.7053,28
13.3312,4.10629,5
15.6152,38.3948,44
21.6828,26.8577,35
15.5981,22.5415,46
14.9341,12.2743,14
13.4555,72.3856,84
15.38,87.8261,118
10.0101,55.7296,80
13.8724,19.698,46
15.9221,29.8861,52
22.2254,91.7355,127
8.86285,45.7064,61
9.95821,3.55833,12
12.7893,31.4381,37
15.6318,74.7949,100
12.0611,35.9556,52
11.2782,51.9366,63
13.0078,25.2771,37
10.1639,14.1705,20
19.5437,10.1063,26
15.0621,47.9913,67
12.1562,17.4095,29
11.9211,34.7368,46
17.2188,68.5598,83
14.41,27.9422,46
15.1983,74.4839,104
12.4605,35.7769,61
13.1096,63.4604,87
16.9059,29.0947,37
18.2077,31.3423,40
19.7932,41.3081,69
10.6037,38.2178,47
17.3171,12.8199,16
13.2096,40.0603,63
12.1537,53.8646,72
12.293,98.6652,140
20.1742,10.1897,27
13.6473,77.3447,107
19.4494,13.0422,27
11.7978,96.9604,140
14.6856,98.9507,137
11.5402,14.1729,29
18.8232,63.355,89
23.3275,85.3016,113
18.7926,53.3875,78
12.6298,38.4897,49
13.9228,36.9436,41
12.9563,39.0997,58
18.6988,80.0296,125
14.8198,62.0984,80
12.9566,16.0552,25
15.1914,52.3293,66
12.2756,13.4008,21
16.1461,28.2861,34
15.538,46.1059,68
11.3836,53.6736,76
