x,y,z
35.5263,5.16677,20
25.2784,71.4704,137
35.7279,30.5843,74
27.0824,30.1272,63
12.4572,83.0232,171
8.90541,66.6212,128
34.2908,58.2502,115
21.6526,30.6159,80
35.9684,27.3187,61
18.3481,32.4966,67
29.9925,4.48854,12
21.2313,46.787,89
20.9079,9.81407,32
28.3901,34.8847,71
34.2387,86.4981,164
31.0517,46.3889,93
9.39687,8.14449,21
26.4339,85.2382,168
29.9948,89.0172,155
20.9091,33.0239,70
28.2396,37.8928,62
46.0131,2.45346,11
31.9894,86.2123,165
46.8543,54.4022,114
28.7268,57.1746,116
22.0182,12.4323,30
22.3305,55.327,122
13.9626,25.4253,58
34.3526,50.7909,105
36.1278,94.0579,194
26.6193,35.6111,66
16.2504,58.5234,115
25.3425,88.9304,187
45.5895,85.2471,167
31.0004,56.3162,111
28.0252,53.2057,100
44.6651,92.3911,176
32.4696,93.6936,193
33.9939,38.1158,78
19.2732,20.593,38
30.3214,66.1505,125
22.0142,81.5039,174
22.7996,19.3945,47
11.2302,25.91,50
27.7809,52.971,107
15.0337,52.1151,104
33.9655,44.5365,76
36.1279,84.9834,171
17.9454,5.80045,13
27.2505,69.5302,144
18.6833,37.7078,95
25.6683,12.4713,21
34.9819,24.809,52
34.2181,58.865,108
52.4239,69.0886,148
24.9434,72.3689,147
37.5974,69.4138,139
9.04682,57.77,134
31.9839,24.944,51
17.241,52.7636,110
24.7432,72.2834,132
25.7671,14.0803,30
37.1932,59.8486,115
23.8966,30.5508,71
25.9161,97.1025,200
42.0108,14.1404,26
19.2021,94.3716,194
19.2289,44.293,79
41.428,24.9939,65
22.7022,35.5933,66
31.1327,32.0329,61
42.4836,77.3804,141
30.6145,7.04636,17
24.7306,3.14947,8
39.4754,87.8814,139
20.2733,33.7199,76
22.1804,61.9859,119
34.8032,42.518,69
32.8682,13.6214,36
16.3036,88.0437,185
22.4857,99.4905,207
32.501,16.0359,43
20.326,36.3743,75
20.1718,51.7683,96
22.6551,40.6687,88
15.2075,86.361,181
30.58,80.6352,168
31.2746,3.81363,6
31.2636,20.5735,42
25.3042,71.2402,155
19.3852,85.8149,166
35.7439,60.2764,107
19.5916,37.0907,75
4.21064,44.0829,94
17.3271,48.5631,91
34.5753,41.1336,93
22.3532,33.553,88
20.6403,78.9554,155
7.22127,76.9671,159
27.963,57.2661,103
