x,y,z
11.9341,41.3657,124
33.735,98.8373,378
14.1674,81.5739,323
16.12,97.1357,378
23.4905,94.8017,332
19.1867,98.4833,370
12.6222,36.8847,109
34.5909,58.2979,228
23.1677,67.0425,231
17.8165,25.5974,115
39.8275,90.6963,358
21.6222,30.5852,112
30.6546,34.5743,148
25.6154,19.8558,86
44.7068,76.0745,297
33.3835,59.5643,236
12.0389,35.1635,139
25.9857,23.9867,80
8.47809,40.4158,154
11.6931,14.1067,49
25.7305,36.7256,136
16.9583,29.1164,117
20.7467,84.6083,339
34.1673,7.09003,29
24.2762,62.5734,220
30.5348,42.2841,162
15.5706,87.2761,353
27.6463,62.191,224
30.9146,40.7051,152
27.0323,47.9056,206
24.9913,48.6749,201
29.6705,59.8116,218
16.7913,27.7174,103
15.8714,19.763,79
12.4173,43.6349,151
22.5324,17.4966,75
24.0583,48.9077,169
21.7084,0.920442,6
23.0775,13.2999,54
30.5356,87.4692,337
38.8523,45.7924,186
8.87276,77.2196,284
29.9721,23.4684,114
12.7473,26.1122,87
15.8533,43.4473,167
29.4235,50.3664,199
39.0751,38.792,141
17.8772,38.851,151
26.6424,85.2988,307
33.7226,73.1661,294
36.3684,91.8355,345
42.8214,75.7867,276
26.048,67.0474,255
8.31559,61.7529,250
32.7558,50.445,188
8.78891,5.80476,28
26.6555,57.6933,230
26.8937,51.3747,223
35.1454,26.8875,104
22.6931,18.3889,76
18.5921,29.5352,121
42.9409,30.4391,125
37.9774,36.1865,146
27.8744,78.8876,304
22.1868,55.9164,184
31.4408,38.8125,146
31.5505,57.5804,222
32.8481,55.7347,229
28.5378,97.6279,355
30.5556,82.6069,288
23.7696,86.7479,329
18.1446,60.4479,236
11.8267,28.9787,114
15.6707,42.0989,158
24.1656,2.6355,19
32.0576,4.71696,32
7.40453,37.2084,140
34.2182,47.4145,194
32.621,85.4946,299
24.8291,93.6389,368
9.29458,64.9835,265
26.0695,0.69078,7
39.3037,27.6689,101
20.021,4.12482,14
25.1493,27.9996,115
15.9195,1.24015,8
17.0616,10.7047,43
22.7714,80.8137,328
13.2673,22.3782,104
35.4563,64.3635,255
19.2229,84.6974,306
20.7018,12.2596,43
36.4555,19.8687,71
4.03092,3.14495,16
10.3584,10.7643,49
39.3819,97.1446,380
26.5785,77.0891,323
35.2383,55.3769,241
20.8703,50.2153,199
25.3071,8.0411,38
