x,y,z
31.1429,33.1223,63
27.3726,59.5293,90
32.982,67.5919,96
31.5302,4.56626,11
35.2493,14.2691,25
25.2385,24.9306,48
28.4392,42.1061,71
36.1594,55.0453,83
29.4866,99.6407,159
30.5631,36.387,56
26.3951,45.0282,73
29.5834,53.3755,92
32.8007,71.512,133
26.3466,76.9495,121
28.9031,52.8553,110
30.2718,59.4824,97
25.6808,88.4932,155
33.7187,5.43448,11
29.6503,32.8193,53
26.7313,12.6224,29
35.1344,22.7391,52
33.938,29.2041,62
27.5332,67.2654,109
29.5475,53.409,98
28.0416,45.3543,74
27.2434,4.91322,6
32.2995,32.2988,64
27.2658,61.6076,91
24.9071,87.8706,155
29.0167,78.8883,141
30.9611,53.4009,102
28.9117,96.168,181
24.845,58.3117,89
24.5633,81.2761,124
26.1181,36.7945,78
31.0088,9.96284,14
28.5871,96.1221,159
29.3368,87.7311,149
38.0684,15.4394,37
26.0896,86.4191,130
31.0148,5.54038,12
32.9774,46.4698,90
26.2412,86.3663,145
26.5665,53.1091,77
32.0278,32.4844,45
31.0526,83.1842,151
30.0245,20.1631,43
28.2817,4.71035,21
25.6868,53.4997,96
31.207,90.6319,148
24.1084,11.1596,23
31.0846,40.0747,65
30.3097,99.5625,151
24.7074,86.619,125
26.8889,3.98941,14
29.2035,1.09561,7
29.1543,13.8561,42
33.2515,60.1624,95
33.9177,27.1677,45
34.0236,85.3023,135
26.9946,90.9785,143
29.0374,93.3605,142
26.0331,82.0257,162
29.1025,73.853,107
31.9439,86.4124,168
31.2606,96.7452,154
36.3422,13.8222,36
26.3536,31.4427,47
32.0057,94.1885,156
28.9611,11.2648,21
37.3907,44.8786,70
29.3811,87.4515,122
30.9125,3.26598,14
32.5407,90.2358,124
31.9685,93.6025,172
30.405,13.0091,24
30.9874,24.8416,45
24.4632,53.0948,80
29.4899,89.2881,149
32.7818,30.4342,68
31.329,83.67,128
31.0183,72.2063,132
30.285,18.3026,27
29.3821,87.642,158
24.9274,77.0844,146
24.3562,63.9945,113
27.215,95.6798,165
30.3355,17.1095,30
28.7577,52.0391,100
28.7082,41.5114,80
26.2932,42.58,75
31.9961,80.962,141
30.7074,57.2806,88
19.8426,63.1619,111
29.8689,48.0974,66
27.865,24.4486,44
31.0709,96.3599,151
32.1682,65.7936,116
28.2982,7.31748,19
25.4148,11.7323,26
