x,y,z
15.2352,92.7957,112
7.97754,19.897,32
32.16,88.4494,107
15.4026,97.1012,114
17.2921,57.4434,64
20.1506,79.3709,87
16.8051,48.9531,54
17.632,99.6719,108
6.12397,98.3333,114
15.3302,7.96062,22
15.1725,68.87,88
20.8113,14.8518,22
12.1292,98.2306,119
8.07873,77.2841,64
6.56859,11.9862,26
5.17231,8.89127,16
6.3876,18.8831,33
9.30243,42.8223,50
2.65327,49.929,64
7.67974,80.5322,89
16.8372,28.2697,36
5.7548,88.6829,106
23.297,82.6356,96
15.5414,8.90576,21
7.33866,82.4535,96
19.8712,2.5036,16
3.03479,41.934,39
5.90845,59.331,63
10.1499,18.5032,25
16.3213,45.8511,50
16.9897,91.86,112
12.3191,79.4261,94
7.30895,27.7558,38
8.19401,9.10639,21
11.3721,18.7672,37
17.4122,65.6074,70
22.1095,91.571,102
16.3779,78.7851,88
11.1459,86.0503,87
3.59135,71.3715,78
14.1687,36.0155,48
1.07319,96.9221,119
7.93301,50.9851,45
17.3874,64.0153,81
15.3111,86.9723,80
19.6844,87.058,97
15.4429,30.0705,39
24.4347,84.0689,91
15.8687,95.1415,107
15.2532,95.4363,126
10.8332,10.8186,15
13.9833,67.9907,80
6.79942,84.767,89
10.8981,94.8468,113
9.23405,9.66205,15
17.6456,83.6311,95
19.0485,5.36739,14
11.0807,37.154,42
10.5649,53.7929,59
18.4681,86.0511,113
14.5239,36.3824,49
19.5731,60.4811,62
14.9882,81.6522,94
-2.02259,14.8344,26
14.668,3.36232,11
25.6722,9.05499,20
15.7904,15.5277,22
17.7264,39.7175,59
17.0524,13.7279,21
0.0230329,50.2287,69
21.7405,11.9446,20
5.21068,20.704,28
24.4925,89.6261,115
6.0045,45.8114,59
21.2144,20.1986,24
19.0258,55.6001,78
15.8153,33.2287,49
13.4969,25.2711,33
19.1745,67.9984,74
6.08919,33.728,51
14.331,35.6738,34
15.254,40.0616,41
1.02012,98.5912,106
16.028,62.9905,59
11.6858,99.986,104
10.6186,31.814,38
24.203,52.2303,51
19.8914,29.2626,42
8.3073,57.0263,77
16.0243,40.6628,54
7.57293,85.0668,87
15.5727,75.9685,86
18.5906,3.67316,12
16.1132,56.1251,59
20.5389,24.8174,28
9.90314,35.4628,35
9.47312,18.226,18
12.1966,34.2483,41
17.3495,83.4067,98
19.5215,51.1725,67
