x,y,z
30.1817,72.4277,133
15.9288,40.5135,75
28.5024,48.4713,82
14.7686,93.9772,166
19.3577,58.2012,109
34.4209,87.0763,157
22.4442,77.998,139
2.9989,69.0439,132
-1.3868,80.2928,154
11.5816,15.368,36
11.1697,24.1212,49
7.66421,30.7541,71
16.9591,18.3183,39
18.4942,37.0326,60
17.023,62.83,127
44.1574,25.4496,56
24.2953,32.8174,74
2.35523,81.1271,144
15.8582,29.8024,54
19.5228,66.441,119
6.12695,72.5785,156
14.6331,5.48081,13
16.8444,25.7165,46
28.0797,52.3126,92
20.1234,55.8447,113
16.5844,0.724971,7
-0.54862,17.1622,40
12.4038,63.3597,120
27.2585,66.9963,132
24.2056,51.9998,101
19.2625,85.4192,162
20.0968,51.6596,96
38.6217,8.53047,15
-0.149285,15.5704,41
12.8211,42.884,101
-2.35257,79.1601,144
15.221,58.8458,117
2.41784,10.2073,26
26.7551,52.9971,118
24.758,51.6076,90
3.06174,52.6996,90
26.2947,17.8281,36
0.845706,72.1793,124
13.8874,47.1436,96
11.2258,96.4885,201
10.7204,48.9825,97
20.0177,98.2024,159
20.9111,70.4784,131
18.0004,63.0419,120
13.1947,60.7367,109
27.6786,40.9988,74
26.596,52.8132,107
15.6058,28.4527,68
4.6707,79.0838,150
22.5397,68.8025,123
18.8143,41.5254,75
15.2272,58.9048,118
17.5306,7.32226,21
2.5899,99.716,179
15.2889,94.2603,172
14.5143,67.329,109
16.8386,24.1648,43
19.6309,15.207,33
23.0767,34.5462,64
29.1746,27.6145,66
22.3573,55.1799,74
16.2103,21.0216,50
12.4493,28.512,55
9.2044,19.8288,38
5.23519,71.2958,134
4.93313,83.649,163
0.837882,87.8433,171
23.5019,99.1164,178
9.71971,99.8983,187
12.9388,91.512,169
7.98794,42.457,81
-2.27141,63.3612,120
9.89752,87.7149,172
7.07767,46.3621,85
13.9828,10.7761,28
12.71,71.9337,135
4.11611,72.5476,146
16.0125,17.8197,40
22.6654,19.7032,41
11.8325,74.5411,154
5.00332,84.1667,173
31.9217,36.0028,77
13.3102,27.0762,62
2.04442,24.9941,57
20.4515,87.6303,168
10.1062,40.0847,79
-1.60197,69.7563,158
21.5647,5.69849,17
25.1442,92.0001,170
18.0135,35.9476,64
13.7477,66.6378,104
-2.25538,54.6918,102
8.65621,93.0318,187
6.76886,85.8452,146
21.2752,60.1748,130
