x,y,z
12.4414,38.8368,138
11.4592,74.4838,276
13.4712,10.4717,51
10.488,64.6422,226
8.77807,77.5188,303
13.1503,93.1874,293
14.0076,77.8047,283
13.3508,31.0207,124
10.9702,63.1545,216
13.1854,54.369,189
13.3341,34.9773,128
11.6676,39.8447,141
14.4648,90.7991,305
12.1596,0.719413,7
13.4595,54.6749,160
10.6207,79.3829,271
8.46193,67.7659,243
10.3016,57.4559,214
11.8572,43.8389,145
8.48484,73.4466,238
15.6288,56.2788,176
11.67,81.674,285
15.8056,0.674313,10
13.5946,84.8007,282
11.2531,15.5104,75
11.7423,96.8226,319
10.7103,29.8994,113
14.0279,73.7449,261
10.5545,19.8228,74
13.8681,69.061,247
13.2211,0.494251,5
15.5667,68.8238,241
10.5046,52.8244,183
15.0249,66.3387,233
12.3274,80.6705,277
11.9581,40.5638,140
12.7161,55.6916,205
11.3165,79.7266,282
14.6205,42.4734,151
13.7212,91.4529,317
11.8245,17.3799,60
11.8964,30.693,126
12.169,72.773,225
13.2927,21.0545,84
14.4629,55.8303,204
10.1806,90.4031,319
10.2838,40.7134,162
12.6743,15.2232,64
13.5009,18.9844,71
11.1602,46.052,129
14.072,47.2831,162
15.0411,38.5644,149
10.8119,21.1474,55
15.0139,72.0701,268
10.8003,3.26819,20
15.7141,61.6801,226
10.8708,58.5715,212
12.233,10.1663,37
14.355,51.3381,178
11.559,38.0456,131
11.8975,11.3051,49
13.2425,94.0131,307
10.8098,44.4141,135
14.9545,83.2902,271
15.2212,38.1475,152
8.27497,92.8067,330
11.0539,92.6105,308
12.0496,45.8421,135
14.0684,46.7275,156
12.6834,34.1476,105
13.7156,47.5954,168
12.4176,0.317771,8
11.5561,5.53852,14
14.5362,72.5536,241
13.5154,28.918,105
10.8133,83.0501,275
11.1137,48.4816,160
13.6324,53.5653,166
14.4776,47.1024,179
14.6676,87.2533,283
13.9678,88.4756,304
12.3965,13.626,54
9.28997,94.9391,291
12.5804,24.6865,99
13.8792,19.8555,79
14.3216,82.4403,261
13.3641,73.8989,249
10.014,35.178,108
12.2036,52.2422,182
14.556,90.2148,310
17.0997,62.0394,188
13.8064,98.6435,326
9.24871,25.2688,90
12.5056,85.4368,333
10.2891,36.7695,107
16.3715,47.2286,165
12.9709,33.8632,132
12.3868,52.4276,177
11.0865,62.3761,206
13.7109,47.2795,195
