x,y,z
9.32367,87.95,117
10.2999,68.6913,70
17.1542,0.950659,5
15.591,85.6744,109
12.2442,79.9846,102
6.879,92.8857,130
6.88012,52.5089,72
12.0594,45.9508,70
9.40336,76.8974,97
11.0479,17.5306,33
11.6869,61.3746,80
14.5199,52.7291,71
8.69462,3.26326,6
9.35096,30.7748,44
8.35632,52.4549,76
4.82185,62.0663,76
8.65622,74.433,103
16.1724,85.1987,120
10.7034,25.3196,46
10.6998,37.9831,44
17.3005,11.1578,18
12.5215,92.2143,110
6.85391,27.6213,34
11.8755,25.5648,31
12.9652,97.7936,123
11.2133,82.9331,125
5.67932,51.6072,72
10.7689,42.0529,54
6.19191,45.8208,67
8.23755,98.3862,151
10.1998,70.6861,92
11.8178,99.7244,120
9.58909,42.0249,50
10.3418,14.648,19
14.064,42.2477,58
12.6486,89.6874,107
18.1995,88.1145,133
13.0696,1.05082,2
16.4985,64.3208,82
13.4964,69.2343,102
13.1694,55.4887,70
11.8331,67.0559,90
18.6722,97.1731,127
17.423,54.7185,64
8.06744,31.5149,38
7.52967,49.6283,56
14.0283,62.4053,87
10.2448,63.0568,79
8.87262,41.9684,41
11.6766,6.00373,10
11.4255,49.8447,77
11.0383,81.7136,96
11.5471,49.2073,66
8.45484,92.4979,126
17.6994,85.4091,118
9.6155,77.5266,105
8.58649,2.72546,6
11.3942,20.3423,24
12.4215,36.8393,39
14.8025,99.0143,118
14.7022,33.583,38
15.6482,34.0722,34
6.1175,0.186018,7
16.1713,14.8792,31
8.88108,79.5616,99
9.84505,49.3871,67
15.1768,52.9986,76
4.87047,62.4503,76
17.5571,54.4109,77
13.0838,3.29557,4
9.85717,65.9882,91
11.9513,8.22996,19
7.31202,27.8756,46
15.327,59.0787,74
6.55238,81.0001,108
11.238,47.2025,67
13.9822,53.2497,67
7.66026,90.3762,132
13.3959,53.8353,90
8.01628,76.2614,112
11.4328,69.7235,85
12.913,39.879,43
10.8266,38.8546,60
9.76163,98.2174,129
13.9948,59.6429,69
14.2255,40.4656,48
11.6049,21.1756,34
9.9675,63.1304,74
14.6873,85.0831,104
8.79744,34.1384,66
11.1265,24.2378,33
10.6323,96.7147,139
14.6899,42.8031,63
4.12618,57.9674,73
15.7694,29.8744,44
13.5144,78.6446,85
8.94618,72.1213,106
7.9959,40.5068,51
10.8875,36.143,51
10.1987,46.3028,70
