x,y,z
10.9104,96.7005,167
3.18152,36.0641,57
13.1731,4.59446,18
5.89661,70.3526,118
10.2997,66.7453,111
8.73773,9.81892,20
12.4571,86.3781,134
7.15882,67.3867,111
10.9854,37.6952,67
3.23801,62.4941,95
1.02809,41.444,88
6.22964,16.743,41
13.3944,84.0645,144
7.07861,38.4207,58
5.27986,83.3926,148
3.70563,26.2677,53
6.15932,49.1526,82
7.68733,48.153,84
9.91062,21.7527,58
4.38945,78.7155,138
5.49755,9.76311,19
3.51456,27.2261,62
13.3957,1.27338,9
5.35103,56.4858,106
5.93483,94.0216,173
1.89618,9.50123,28
9.29307,84.3448,154
2.00314,88.207,146
12.9045,23.0043,39
2.63544,3.19384,10
3.26081,33.0785,60
1.71849,11.8895,21
7.46811,28.7504,68
6.62518,46.6199,80
12.9729,25.8353,45
3.26748,94.368,174
15.8675,82.6513,159
7.37164,96.2414,179
9.74314,51.2425,91
3.09867,86.0214,159
12.0306,40.4671,86
5.06601,54.5368,91
3.05523,87.7671,170
16.6685,93.9614,179
7.37949,35.4115,67
2.95124,26.4494,48
3.66545,38.0814,86
8.3874,8.1046,24
5.00737,75.9605,127
4.99958,11.3363,30
11.8004,0.296922,8
4.70446,48.1812,88
12.6848,37.1217,76
12.0233,12.9115,35
2.01806,62.5145,122
11.2505,68.4138,128
7.89689,91.3399,165
2.45864,59.1169,102
14.0483,12.9148,26
14.1621,5.27638,15
11.1973,51.4008,103
14.4962,41.0244,83
6.70791,86.6688,154
19.4349,30.9331,64
5.19478,55.6717,120
9.93394,58.0104,105
7.74179,23.6778,46
-2.73523,23.0303,47
-2.04468,53.1887,101
2.28777,35.5416,55
7.31118,36.4557,72
11.3667,48.3208,82
7.53401,7.2451,19
6.88694,62.0784,123
10.4576,62.5571,125
-0.751901,92.4423,166
16.9563,47.8802,81
6.827,17.9789,46
5.10918,51.4313,96
8.19565,79.1708,138
10.6952,72.1247,119
16.106,9.57606,24
7.06923,8.41284,18
3.00989,45.0083,90
13.7332,99.7926,166
10.6079,7.27449,18
-0.582317,31.9527,60
9.50699,82.2415,160
11.0339,76.341,145
6.16915,39.1896,57
5.50472,71.285,120
3.09803,4.40064,12
11.0672,22.9962,40
8.53822,60.4772,103
17.1379,6.56853,22
8.31052,89.2221,154
11.0197,51.6009,84
12.2423,31.5451,60
12.088,50.4643,97
2.10149,15.1791,25
