x,y,z
10.6454,80.4367,144
20.124,38.6873,80
17.6634,37.7464,71
16.6504,95.6046,175
12.2447,41.8286,69
9.15226,53.3694,88
16.9678,21.4715,46
19.6398,65.9767,133
20.9834,31.1582,63
13.3405,11.0538,28
17.8962,12.4052,28
18.7445,28.2662,58
17.4377,63.3813,118
14.8281,10.3384,23
15.8351,26.2692,47
15.2176,75.7632,132
15.2292,72.3376,130
21.8915,6.29263,15
19.4915,14.2672,20
20.0065,55.7366,115
19.6324,22.964,50
18.2589,15.1899,36
18.2044,37.3398,81
16.413,10.7047,22
10.5338,20.1461,43
20.234,32.199,59
17.8029,68.4482,133
12.5432,68.5533,135
14.8932,54.5387,104
21.8426,89.6576,171
14.3817,17.7044,33
12.4033,30.9697,60
23.4981,84.4448,179
15.7401,38.9774,75
14.8028,72.8941,131
12.0965,60.3467,106
17.6943,41.2741,81
17.7556,62.29,135
17.9568,45.7342,81
29.6509,93.0782,162
10.2043,3.19417,14
19.9901,48.0859,104
19.5898,74.2086,137
9.60069,72.2088,135
11.6119,94.8629,169
11.7077,84.2123,153
20.3015,81.2677,155
18.5366,89.4922,181
9.50107,10.9881,21
20.5692,83.9085,161
14.9644,62.9569,129
11.6421,84.7095,170
18.8094,65.6312,139
15.9802,80.0794,151
17.7211,0.230151,6
11.4299,44.0007,76
15.4595,50.524,87
18.6078,10.2441,31
13.5195,12.7013,30
15.8076,81.3946,140
16.3357,42.1671,105
15.3684,71.5323,127
14.4587,3.96793,10
12.7568,15.9362,36
19.7583,18.9405,42
11.3897,63.5501,130
16.4212,97.5996,178
21.8622,34.0547,72
12.5334,83.6723,173
18.4449,50.1218,99
17.9805,16.9169,42
13.7267,65.6247,119
25.5063,72.431,135
25.4733,8.84999,15
16.1439,35.8807,71
25.9474,11.1606,33
15.315,62.2516,119
8.73996,74.9429,161
11.8855,76.196,151
19.6724,97.8943,210
13.204,62.7688,124
26.5838,63.5766,126
13.6579,13.2432,27
8.06267,91.4223,179
17.3726,54.3678,103
16.9993,31.5768,62
14.5345,8.60556,26
21.1483,92.7128,177
15.3938,56.7254,100
10.2124,73.1059,153
14.2135,55.6831,91
13.0677,85.8099,163
11.2166,30.445,68
18.5053,57.6362,121
14.7895,44.4176,96
15.4432,54.8388,100
16.2967,35.5382,66
16.2834,88.4115,159
22.6832,67.7233,131
14.9089,38.1682,67
