x,y,z
24.0016,14.3697,44
17.2121,37.1648,68
28.5832,94.796,227
13.2791,11.0063,36
21.4374,52.2221,125
12.8172,6.62259,28
15.227,20.7215,70
37.329,62.3344,141
24.0023,69.0215,184
26.1065,9.251,25
34.45,84.0365,216
15.6362,8.37387,23
25.1575,10.4549,31
16.8605,86.3966,194
15.514,15.0456,47
9.9222,33.3419,85
26.1087,90.6538,203
18.912,55.7079,137
23.9913,81.7339,214
23.0422,74.4174,163
18.3419,80.2841,199
20.3163,53.9009,115
20.8545,93.2388,215
15.774,49.9959,113
19.6153,33.6004,99
17.8235,32.2632,70
20.8338,79.0054,195
12.9604,98.145,288
16.4842,90.0606,203
22.9306,81.7841,211
14.6022,15.8643,46
12.2563,99.7629,236
28.8407,15.3629,38
23.7773,94.5007,238
13.7453,38.6673,117
28.7491,5.7271,20
23.1291,77.3565,175
17.8376,79.2919,206
23.7725,50.5539,112
34.2813,65.155,176
30.9498,92.0701,223
19.9556,28.0045,72
18.8891,4.41503,15
29.0515,13.0597,43
11.8109,87.4421,206
10.5792,40.0793,90
18.6146,84.2519,197
24.9203,81.8268,186
30.5472,84.1728,194
13.8434,87.3385,212
13.9656,81.6103,233
34.6641,44.7107,118
17.4185,31.5657,81
14.8082,43.1239,110
14.2245,89.1756,221
14.9796,92.3091,235
6.56071,72.4681,175
21.5085,36.5255,98
23.1619,68.3644,156
12.4345,99.9676,247
22.1868,59.1672,143
20.506,69.7221,169
22.9902,94.9478,243
23.5077,3.88952,11
27.7856,34.7423,98
27.3399,19.4,37
24.5889,71.2856,201
11.0226,80.45,191
14.2627,94.2695,220
19.9132,80.0627,192
20.9424,26.8901,86
13.3301,26.4701,68
32.4866,89.9664,220
20.363,17.8323,49
21.0552,50.3896,132
27.1777,46.3564,118
19.65,62.5073,164
19.9729,56.9127,145
28.0039,45.8659,113
12.1617,41.7084,93
18.6898,46.7448,137
23.3535,21.6253,60
21.9262,31.9457,109
15.8952,63.8763,160
17.8178,53.3054,129
28.2565,61.2257,167
27.877,94.5606,217
11.2716,3.14969,10
21.9055,48.5936,140
15.988,0.0274867,8
21.8275,20.9939,52
26.2568,4.10265,10
16.7834,94.9637,239
30.1534,75.975,175
22.421,62.4914,132
13.1968,75.6876,203
29.6317,90.9763,246
25.2479,48.7561,130
29.5947,96.7317,239
18.0833,77.2305,213
