x,y,z
31.2225,23.9055,79
15.8567,76.9398,210
19.8887,15.8731,50
21.1389,51.0029,150
17.6197,36.531,133
25.7271,14.9098,47
13.9408,15.9919,55
11.0273,8.0423,24
17.7639,87.4689,274
26.5712,50.9922,130
18.3715,14.8314,52
9.25941,14.7134,37
18.663,96.0359,300
31.3108,13.2247,56
31.3334,10.0305,30
28.8433,52.677,152
29.9267,66.2334,190
33.7619,78.0853,221
26.7599,26.8257,73
27.2259,0.0357706,5
23.3946,91.91,269
26.0404,14.1249,39
10.8362,52.5607,157
24.539,68.6528,208
23.9349,87.2797,253
30.9568,69.1033,188
30.9163,28.7559,85
18.1873,31.7512,96
26.5193,11.3274,35
22.783,46.3963,154
31.6616,20.2542,51
24.9412,94.3055,282
23.3968,68.4165,190
11.4593,6.41257,17
20.7977,41.4778,123
30.3183,14.4215,58
34.7171,59.9705,156
28.4076,39.4704,136
21.5557,59.0525,176
35.731,75.6396,238
16.5027,16.8496,49
24.5129,37.581,113
16.7867,59.6611,166
25.1021,42.662,130
16.5684,38.8887,107
43.9371,29.0846,90
26.2571,96.0442,295
23.0982,72.0086,228
24.5439,49.4693,169
27.3844,43.7533,154
30.8571,20.2088,58
24.0337,6.09069,27
25.487,34.3115,95
16.9492,37.7629,101
22.4255,95.4848,285
23.0276,85.0535,262
35.5485,61.5907,188
32.9857,47.7564,132
25.534,54.3794,139
24.6737,91.0083,266
20.6811,7.96192,25
31.9893,44.706,115
21.3438,89.6641,248
10.0119,72.8706,205
19.3773,63.783,205
29.8881,52.6815,165
26.4564,55.5472,158
18.8665,47.137,140
22.355,80.2384,239
19.6315,81.0695,250
19.8159,33.0561,84
18.5173,11.7265,34
13.4571,7.7738,26
20.394,98.768,321
28.1423,94.2781,303
26.9414,48.2009,144
12.9372,63.2822,190
16.9236,14.466,49
16.3368,46.9794,150
25.3568,43.0772,145
21.4862,73.6613,199
22.8807,17.0536,59
19.581,54.8524,138
16.3229,93.5861,280
29.4977,2.83148,10
25.8422,46.2992,133
28.0516,65.0798,181
17.4319,12.5168,43
27.9561,2.45633,16
28.0917,14.9997,34
22.6947,86.7653,280
26.0646,87.4552,247
21.6526,79.3972,221
21.5262,76.1131,236
28.3548,93.9902,267
23.8217,11.3143,43
13.9834,96.7878,297
22.4127,47.5219,140
20.967,24.5858,75
39.6871,5.61775,13
