x,y,z
30.118,29.6042,54
38.2394,63.8874,100
28.5262,32.9153,61
25.697,97.2533,149
33.4366,29.4328,49
39.2371,71.6783,126
34.599,19.7814,38
35.2526,8.77584,20
34.1384,39.4564,71
27.6571,61.0498,114
34.8808,63.6951,111
28.4233,54.8084,81
29.8515,46.3243,90
30.9965,47.3931,80
30.636,76.2598,147
33.5709,80.2648,166
36.3176,62.2767,115
33.6003,91.2307,159
31.7825,35.0411,77
25.5903,97.797,185
30.1991,95.838,163
28.7683,94.1183,150
36.6755,44.6274,77
29.0492,25.2252,51
30.498,63.5916,135
25.2342,8.31064,14
31.6142,6.19473,13
33.8075,30.6633,57
25.1849,21.7517,32
31.4641,45.9147,96
23.8202,33.4507,52
33.5129,91.8536,159
36.4212,3.03862,16
33.2946,82.7581,142
34.4808,71.8407,131
28.5709,4.80233,14
29.1919,13.6452,21
27.6288,80.8705,131
32.1662,55.2212,82
32.2917,91.0449,174
27.4701,72.5586,123
30.6307,36.1713,76
29.7027,61.2694,114
34.2243,39.9167,71
29.7628,38.1046,63
24.5382,59.8426,99
33.2862,94.6767,162
32.0949,31.504,51
25.7996,64.9843,119
26.8014,10.3546,19
28.6477,1.7129,6
28.3314,83.4598,173
30.3256,65.9596,129
36.1603,81.1242,159
26.1153,69.3641,142
30.972,75.5668,137
31.6637,7.04751,20
32.2754,33.5448,69
33.503,2.70926,7
33.2159,62.2009,104
34.7957,86.4365,152
27.4363,9.31074,26
31.6606,78.884,132
31.845,59.9873,111
37.526,84.7653,132
38.9397,56.1644,111
30.7418,32.7596,65
31.0903,53.0219,98
29.0595,6.5946,14
30.7488,61.3118,101
29.0745,93.0198,146
32.0567,16.8308,36
33.5379,43.1555,78
30.7769,8.86498,21
33.8611,81.8984,151
31.3755,0.884841,7
31.3223,0.870041,3
34.3051,8.60589,15
32.3835,59.3489,94
29.8844,60.8888,130
37.369,67.1514,106
34.8895,62.4084,114
30.7986,71.8828,119
31.1681,41.04,73
29.7263,15.5714,41
37.1335,44.3743,78
34.1554,80.0309,148
32.1767,64.0636,127
27.9226,57.9705,83
38.5021,18.8443,40
26.8028,17.0329,34
36.1707,57.173,97
32.5699,26.7019,44
29.197,47.6881,86
33.1616,51.5069,91
26.9785,66.4993,107
25.432,89.9365,155
30.4492,52.4866,76
30.2061,24.1118,50
32.0233,53.139,101
