x,y,z
25.9716,76.7516,48
26.1433,84.1432,69
18.8903,50.2228,52
14.8226,16.5877,24
26.224,31.3062,21
19.1195,59.87,55
26.5882,62.6789,49
11.9725,74.1601,74
17.3675,40.8109,36
9.42354,61,49
13.8372,21.8492,20
25.3977,47.8332,43
9.85363,48.907,46
16.3863,0.771893,8
13.3236,97.2484,94
13.0717,12.9216,15
21.9742,60.0399,46
15.8068,64.366,55
25.9056,51.7645,47
16.976,92.0408,77
14.6901,61.1364,58
27.102,8.89834,13
23.2312,36.863,34
15.8073,5.3443,11
15.1868,68.006,61
14.8287,85.6202,73
20.3397,21.1879,21
26.0917,43.8161,50
16.9129,21.241,29
24.706,85.6276,73
25.5134,66.5317,40
15.7839,88.5373,68
23.5412,30.1841,22
19.5103,3.15931,5
12.83,94.3672,60
16.7292,62.2306,46
25.2906,79.3666,56
16.5256,13.0196,14
14.2309,45.7157,42
18.2413,12.0145,15
12.4693,23.1775,29
13.9784,1.76051,7
27.3282,84.5584,74
12.7832,12.4363,20
14.6697,13.8647,15
27.2641,2.96176,10
8.25581,80.3907,59
24.5562,67.355,58
20.6103,25.7513,24
19.2503,68.8085,51
6.00624,95.8005,94
16.8662,15.153,21
17.9507,13.5425,18
21.0455,98.183,76
18.8005,27.5653,22
21.4391,41.349,51
24.2973,35.4308,33
15.9943,41.0927,36
26.8751,50.5479,44
26.2872,81.1731,57
28.876,13.2917,14
21.3633,56.4727,50
19.8088,41.7231,35
8.98874,75.072,59
24.9047,76.2576,63
18.4764,90.0551,73
25.4241,23.1673,16
16.3878,33.7643,33
15.3822,94.4041,88
9.01681,17.9369,31
25.5826,26.2264,23
27.1753,34.7753,26
22.1426,8.97761,7
21.7305,76.9773,57
20.2122,36.8994,20
28.5805,63.1109,60
10.2061,54.7017,43
16.4122,40.1888,40
21.8716,10.4933,13
17.7927,40.2281,37
33.8575,45.3352,34
16.6495,5.8004,12
30.8802,46.85,26
21.5153,27.9758,28
9.19131,40.9813,32
13.9639,15.5808,16
21.7576,17.5002,17
25.2216,91.9756,74
17.8877,23.6117,24
13.5096,90.8716,61
18.7417,99.8858,89
6.00515,89.4988,61
32.7232,91.7492,60
31.6558,48.9783,49
32.3797,83.3068,63
20.9976,56.5703,41
14.5743,61.6557,44
20.0608,64.5993,66
16.3282,25.9849,16
9.70913,97.4121,90
